,team1,team2,toss_decision,toss_winner,city,venue,season,win_by_runs,win_by_wickets,umpire1,winner,avgTeam1,avgTeam2,avgWckTeam1,avgWckTeam2,team1_win,team1_toss_win,team1_bat,avgTeam1_runs_greater,avgTeam1_wickets_greater
33,7,6,1,6,0.5454545454545454,0.7804878048780488,2008,0,3,0.8307692307692308,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
34,3,9,0,3,0.21212121212121213,0.6585365853658537,2008,0,9,0.2153846153846154,9,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
35,2,7,0,2,0.696969696969697,0.1951219512195122,2008,23,0,0.15384615384615385,2,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0
36,5,1,1,1,0.7575757575757576,1.0,2008,0,9,0.2153846153846154,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
37,9,6,1,6,0.21212121212121213,0.6585365853658537,2008,41,0,0.8307692307692308,9,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
38,7,4,1,4,0.30303030303030304,0.21951219512195122,2008,12,0,0.18461538461538463,7,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
39,2,1,1,1,0.7575757575757576,1.0,2008,0,8,0.2153846153846154,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
40,7,9,0,7,0.30303030303030304,0.21951219512195122,2008,6,0,0.07692307692307693,9,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
41,6,3,1,3,0.5454545454545454,0.7804878048780488,2008,65,0,0.16923076923076924,6,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
42,1,4,1,4,0.48484848484848486,0.6829268292682927,2008,25,0,0.2153846153846154,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
43,2,5,0,2,0.696969696969697,0.1951219512195122,2008,3,0,0.15384615384615385,5,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
44,3,7,1,7,0.06060606060606061,0.41463414634146345,2008,0,5,0.8307692307692308,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
45,2,6,1,6,0.696969696969697,0.1951219512195122,2008,0,6,0.18461538461538463,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
46,9,1,1,1,0.7575757575757576,1.0,2008,1,0,0.16923076923076924,9,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
47,3,5,0,3,0.24242424242424243,0.4878048780487805,2008,14,0,0.3230769230769231,3,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0
48,4,9,1,9,0.21212121212121213,0.6585365853658537,2008,0,6,0.15384615384615385,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
49,1,7,1,7,0.30303030303030304,0.21951219512195122,2008,0,5,0.16923076923076924,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
50,6,5,0,6,0.24242424242424243,0.4878048780487805,2008,10,0,0.3230769230769231,6,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0
51,3,4,1,4,0.06060606060606061,0.41463414634146345,2008,3,0,0.2153846153846154,3,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
52,9,2,0,9,0.696969696969697,0.1951219512195122,2008,0,3,0.8307692307692308,2,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
53,1,6,1,6,0.5454545454545454,0.7804878048780488,2008,0,5,0.16923076923076924,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
54,4,5,0,4,0.48484848484848486,0.6829268292682927,2008,0,7,0.18461538461538463,5,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
55,6,7,1,7,0.7575757575757576,1.0,2008,105,0,0.16923076923076924,6,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
56,9,5,0,9,0.7575757575757576,1.0,2008,0,9,0.15384615384615385,5,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
57,5,6,1,6,0.7575757575757576,0.12195121951219512,2008,0,3,0.16923076923076924,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
58,1,5,1,5,0.15151515151515152,0.5853658536585367,2009,19,0,0.2153846153846154,1,0.7584269662921348,0.8258426966292135,0.8333333333333333,0.8333333333333333,1.0,0.0,0,0.0,0.0
59,3,6,0,3,0.15151515151515152,0.5853658536585367,2009,75,0,0.2153846153846154,3,0.747191011235955,0.848314606741573,0.6666666666666666,1.0,1.0,1.0,1,0.0,0.0
60,9,7,1,7,0.15151515151515152,0.5853658536585367,2009,0,10,0.5230769230769231,7,0.8764044943820224,0.797752808988764,0.8333333333333333,0.8333333333333333,0.0,0.0,0,1.0,0.0
61,2,4,0,2,0.15151515151515152,0.5853658536585367,2009,0,8,0.5230769230769231,4,0.7752808988764045,0.848314606741573,0.6666666666666666,0.6666666666666666,0.0,1.0,1,0.0,0.0
62,5,3,0,5,0.8181818181818182,0.9024390243902439,2009,92,0,0.18461538461538463,5,0.8258426966292135,0.747191011235955,0.8333333333333333,0.6666666666666666,1.0,1.0,1,1.0,1.0
63,9,2,1,2,0.42424242424242425,0.3902439024390244,2009,11,0,0.3230769230769231,2,0.8764044943820224,0.7752808988764045,0.8333333333333333,0.6666666666666666,0.0,0.0,0,1.0,1.0
64,4,3,0,4,0.15151515151515152,0.5853658536585367,2009,24,0,0.5076923076923077,4,0.848314606741573,0.747191011235955,0.6666666666666666,0.6666666666666666,1.0,1.0,1,1.0,0.0
65,7,5,0,7,0.42424242424242425,0.3902439024390244,2009,9,0,0.2153846153846154,7,0.797752808988764,0.8258426966292135,0.8333333333333333,0.8333333333333333,1.0,1.0,1,0.0,0.0
66,6,2,1,2,0.15151515151515152,0.5853658536585367,2009,0,0,0.5230769230769231,6,0.848314606741573,0.7752808988764045,1.0,0.6666666666666666,1.0,0.0,0,1.0,1.0
67,3,9,0,3,0.42424242424242425,0.3902439024390244,2009,0,7,0.2153846153846154,9,0.747191011235955,0.8764044943820224,0.6666666666666666,0.8333333333333333,0.0,1.0,1,0.0,0.0
68,4,1,0,4,0.42424242424242425,0.3902439024390244,2009,12,0,0.35384615384615387,4,0.848314606741573,0.7584269662921348,0.6666666666666666,0.8333333333333333,1.0,1.0,1,1.0,0.0
69,3,7,0,3,0.8181818181818182,0.9024390243902439,2009,0,6,0.7692307692307693,7,0.747191011235955,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,1.0,1,0.0,0.0
70,9,6,0,9,0.15151515151515152,0.5853658536585367,2009,27,0,0.5076923076923077,9,0.8764044943820224,0.848314606741573,0.8333333333333333,1.0,1.0,1.0,1,1.0,0.0
71,5,4,1,4,0.42424242424242425,0.3902439024390244,2009,0,6,0.36923076923076925,4,0.8258426966292135,0.848314606741573,0.8333333333333333,0.6666666666666666,0.0,0.0,0,0.0,1.0
72,1,2,0,1,0.8181818181818182,0.9024390243902439,2009,92,0,0.18461538461538463,1,0.7584269662921348,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1.0,1,0.0,1.0
73,7,6,0,7,0.18181818181818182,0.951219512195122,2009,0,5,0.3384615384615385,6,0.797752808988764,0.848314606741573,0.8333333333333333,1.0,0.0,1.0,1,0.0,0.0
74,2,3,0,2,0.42424242424242425,0.3902439024390244,2009,0,5,0.5230769230769231,3,0.7752808988764045,0.747191011235955,0.6666666666666666,0.6666666666666666,0.0,1.0,1,1.0,0.0
75,9,1,0,9,0.42424242424242425,0.3902439024390244,2009,3,0,0.5230769230769231,9,0.8764044943820224,0.7584269662921348,0.8333333333333333,0.8333333333333333,1.0,1.0,1,1.0,0.0
76,4,7,1,7,0.18181818181818182,0.951219512195122,2009,0,6,0.3384615384615385,7,0.848314606741573,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,0.0,0,1.0,0.0
77,5,6,1,6,0.18181818181818182,0.951219512195122,2009,38,0,0.3384615384615385,5,0.8258426966292135,0.848314606741573,0.8333333333333333,1.0,1.0,0.0,0,0.0,0.0
78,1,2,0,1,0.4545454545454546,0.07317073170731708,2009,9,0,0.5076923076923077,1,0.7584269662921348,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1.0,1,0.0,1.0
79,3,9,0,3,0.42424242424242425,0.3902439024390244,2009,8,0,0.35384615384615387,3,0.747191011235955,0.8764044943820224,0.6666666666666666,0.8333333333333333,1.0,1.0,1,0.0,0.0
80,4,6,0,4,0.8181818181818182,0.9024390243902439,2009,0,3,0.7692307692307693,6,0.848314606741573,0.848314606741573,0.6666666666666666,1.0,0.0,1.0,1,0.0,0.0
81,5,7,1,7,0.5757575757575758,0.5609756097560976,2009,18,0,0.3230769230769231,5,0.8258426966292135,0.797752808988764,0.8333333333333333,0.8333333333333333,1.0,0.0,0,1.0,0.0
82,2,9,0,2,0.8181818181818182,0.9024390243902439,2009,0,6,0.7692307692307693,9,0.7752808988764045,0.8764044943820224,0.6666666666666666,0.8333333333333333,0.0,1.0,1,0.0,0.0
83,1,3,0,1,0.5757575757575758,0.5609756097560976,2009,0,9,0.6923076923076923,3,0.7584269662921348,0.747191011235955,0.8333333333333333,0.6666666666666666,0.0,1.0,1,1.0,1.0
84,5,4,0,5,0.4545454545454546,0.07317073170731708,2009,78,0,0.2153846153846154,5,0.8258426966292135,0.848314606741573,0.8333333333333333,0.6666666666666666,1.0,1.0,1,0.0,1.0
85,6,9,1,9,0.42424242424242425,0.3902439024390244,2009,78,0,0.8923076923076924,6,0.848314606741573,0.8764044943820224,1.0,0.8333333333333333,1.0,0.0,0,0.0,1.0
86,2,7,0,2,0.42424242424242425,0.3902439024390244,2009,0,9,0.3384615384615385,7,0.7752808988764045,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,1.0,1,0.0,0.0
87,4,1,0,4,0.18181818181818182,0.951219512195122,2009,19,0,0.5230769230769231,4,0.848314606741573,0.7584269662921348,0.6666666666666666,0.8333333333333333,1.0,1.0,1,1.0,0.0
88,3,6,1,6,0.18181818181818182,0.951219512195122,2009,0,7,0.4461538461538462,6,0.747191011235955,0.848314606741573,0.6666666666666666,1.0,0.0,0.0,0,0.0,0.0
89,5,9,0,5,0.18181818181818182,0.951219512195122,2009,12,0,0.3230769230769231,5,0.8258426966292135,0.8764044943820224,0.8333333333333333,0.8333333333333333,1.0,1.0,1,0.0,0.0
90,1,7,0,1,0.4545454545454546,0.07317073170731708,2009,0,7,0.5076923076923077,7,0.7584269662921348,0.797752808988764,0.8333333333333333,0.8333333333333333,0.0,1.0,1,0.0,0.0
91,4,9,1,9,0.6363636363636364,0.0975609756097561,2009,0,3,0.3384615384615385,9,0.848314606741573,0.8764044943820224,0.6666666666666666,0.8333333333333333,0.0,0.0,0,0.0,0.0
92,6,5,0,6,0.6363636363636364,0.0975609756097561,2009,0,7,0.3384615384615385,5,0.848314606741573,0.8258426966292135,1.0,0.8333333333333333,0.0,1.0,1,1.0,1.0
93,1,3,0,1,0.8181818181818182,0.9024390243902439,2009,16,0,0.2153846153846154,1,0.7584269662921348,0.747191011235955,0.8333333333333333,0.6666666666666666,1.0,1.0,1,1.0,1.0
94,2,7,1,7,0.5757575757575758,0.5609756097560976,2009,0,7,0.8769230769230769,7,0.7752808988764045,0.797752808988764,0.6666666666666666,0.8333333333333333,0.0,0.0,0,0.0,0.0
95,4,6,0,4,0.6363636363636364,0.0975609756097561,2009,53,0,0.3384615384615385,4,0.848314606741573,0.848314606741573,0.6666666666666666,1.0,1.0,1.0,1,0.0,0.0
96,2,3,1,3,0.18181818181818182,0.951219512195122,2009,0,6,0.5076923076923077,3,0.7752808988764045,0.747191011235955,0.6666666666666666,0.6666666666666666,0.0,0.0,0,1.0,0.0
97,9,1,0,9,0.18181818181818182,0.951219512195122,2009,0,8,0.8923076923076924,1,0.8764044943820224,0.7584269662921348,0.8333333333333333,0.8333333333333333,0.0,1.0,1,1.0,0.0
98,7,4,1,4,0.42424242424242425,0.3902439024390244,2009,12,0,0.3230769230769231,7,0.797752808988764,0.848314606741573,0.8333333333333333,0.6666666666666666,1.0,0.0,0,0.0,1.0
99,5,3,0,5,0.42424242424242425,0.3902439024390244,2009,0,2,0.2153846153846154,3,0.8258426966292135,0.747191011235955,0.8333333333333333,0.6666666666666666,0.0,1.0,1,1.0,1.0
100,6,1,0,6,0.42424242424242425,0.3902439024390244,2009,2,0,0.2153846153846154,6,0.848314606741573,0.7584269662921348,1.0,0.8333333333333333,1.0,1.0,1,1.0,1.0
101,7,9,1,9,0.12121212121212122,0.6097560975609756,2009,0,6,0.35384615384615387,9,0.797752808988764,0.8764044943820224,0.8333333333333333,0.8333333333333333,0.0,0.0,0,0.0,0.0
102,1,5,0,1,0.8181818181818182,0.9024390243902439,2009,0,7,0.8615384615384616,5,0.7584269662921348,0.8258426966292135,0.8333333333333333,0.8333333333333333,0.0,1.0,1,0.0,0.0
103,2,4,1,4,0.5757575757575758,0.5609756097560976,2009,0,6,0.6923076923076923,4,0.7752808988764045,0.848314606741573,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0.0,0.0
104,9,4,1,4,0.5757575757575758,0.5609756097560976,2009,1,0,0.8,9,0.8764044943820224,0.848314606741573,0.8333333333333333,0.6666666666666666,1.0,0.0,0,1.0,1.0
105,7,6,0,7,0.12121212121212122,0.6097560975609756,2009,14,0,0.8923076923076924,7,0.797752808988764,0.848314606741573,0.8333333333333333,1.0,1.0,1.0,1,0.0,0.0
106,5,2,0,5,0.18181818181818182,0.951219512195122,2009,0,7,0.8461538461538463,2,0.8258426966292135,0.7752808988764045,0.8333333333333333,0.6666666666666666,0.0,1.0,1,1.0,1.0
107,7,3,0,7,0.5757575757575758,0.5609756097560976,2009,0,7,0.36923076923076925,3,0.797752808988764,0.747191011235955,0.8333333333333333,0.6666666666666666,0.0,1.0,1,1.0,1.0
108,6,2,1,2,0.42424242424242425,0.3902439024390244,2009,0,4,0.18461538461538463,2,0.848314606741573,0.7752808988764045,1.0,0.6666666666666666,0.0,0.0,0,1.0,1.0
109,5,9,0,5,0.42424242424242425,0.3902439024390244,2009,24,0,0.18461538461538463,5,0.8258426966292135,0.8764044943820224,0.8333333333333333,0.8333333333333333,1.0,1.0,1,0.0,0.0
